ACCESSION: LQA00315
RECORD_TITLE: PI(16:0/16,17-EpDPE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(16:0/16,17-EpDPE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C47H79O14P
CH$EXACT_MASS: 899.111
CH$SMILES: CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC1OC1C\C=C/CC
CH$IUPAC: InChI=1S/C47H79O14P/c1-3-5-7-8-9-10-11-12-16-19-22-25-29-33-40(48)57-35-37(36-58-62(55,56)61-47-45(53)43(51)42(50)44(52)46(47)54)59-41(49)34-30-26-23-20-17-14-13-15-18-21-24-28-32-39-38(60-39)31-27-6-4-2/h6,14-15,17-18,23-24,26-28,37-39,42-47,50-54H,3-5,7-13,16,19-22,25,29-36H2,1-2H3,(H,55,56)/b17-14-,18-15-,26-23-,27-6-,28-24-
CH$LINK: INCHIKEY YWINRZWIJRZTLR-GZZYVGRFSA-N
CH$LINK: PUBCHEM CID:134782870
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 897.5134677
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0002-0010000090-789b4efa70cac7a5ac17
PK$NUM_PEAK: 347
PK$PEAK: m/z int. rel.int.
  897.5715 186 206
  897.5757 147 163
  897.5799 93 103
  897.5842 91 101
  897.5884 78 87
  897.5926 36 40
  897.5968 37 41
  897.6011 17 19
  897.6053 21 23
  897.6095 13 14
  897.618 9 10
  898.3706 5 6
  898.434 5 6
  898.4467 8 9
  898.4636 5 6
  898.4678 5 6
  898.4721 10 11
  898.4763 10 11
  898.4805 13 14
  898.4847 8 9
  898.489 5 6
  898.4932 20 22
  898.4974 28 31
  898.5017 10 11
  898.5059 13 14
  898.5101 28 31
  898.5143 20 22
  898.5186 18 20
  898.5228 13 14
  898.527 28 31
  898.5313 43 48
  898.5355 33 37
  898.5397 10 11
  898.544 15 17
  898.5482 10 11
  898.5524 20 22
  898.5566 18 20
  898.5609 15 17
  898.5651 8 9
  898.5693 10 11
  898.5736 5 6
  898.5863 5 6
  898.6032 5 6
//
