ACCESSION: LQA00352
RECORD_TITLE: PI(18:0/9-HODE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(18:0/9-HODE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C45H83O14P
CH$EXACT_MASS: 879.121
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCC(O)\C=C\C=C/CCCCC
CH$IUPAC: InChI=1S/C45H83O14P/c1-3-5-7-9-11-12-13-14-15-16-17-18-20-24-28-32-38(47)56-34-37(35-57-60(54,55)59-45-43(52)41(50)40(49)42(51)44(45)53)58-39(48)33-29-25-21-23-27-31-36(46)30-26-22-19-10-8-6-4-2/h19,22,26,30,36-37,40-46,49-53H,3-18,20-21,23-25,27-29,31-35H2,1-2H3,(H,54,55)/b22-19-,30-26+
CH$LINK: INCHIKEY INDMOGBRINIYGQ-FHHGPMHOSA-N
CH$LINK: PUBCHEM CID:134738657
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 877.5447679
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-004i-0010000090-28aec89cfa79e54a8990
PK$NUM_PEAK: 397
PK$PEAK: m/z int. rel.int.
  593.2567 51 7
  593.2635 71 10
  593.267 82 11
  593.2704 61 8
  593.2739 133 18
  593.2773 102 14
  593.2807 41 6
  593.2842 102 14
  593.2876 41 6
  593.291 71 10
  593.2944 41 6
  593.2979 31 4
  593.3013 31 4
  593.3047 20 3
  593.3082 20 3
  593.3116 31 4
  593.3151 20 3
  593.3323 20 3
  599.2931 31 4
  599.2966 31 4
  599.3 20 3
  599.3035 20 3
  599.3069 51 7
  599.3104 31 4
  599.3138 61 8
  599.3173 71 10
  599.3207 51 7
  599.3242 102 14
  599.3276 31 4
  599.3311 102 14
  599.3345 20 3
  599.338 31 4
  599.3414 31 4
  599.3449 20 3
  599.3484 20 3
  599.3622 31 4
  600.316 20 3
  611.2762 20 3
  715.4631 31 4
  715.4706 31 4
  715.4744 20 3
  715.482 20 3
  715.4896 20 3
  715.5084 41 6
  715.5122 20 3
  715.5159 31 4
  874.739 20 3
  874.7431 20 3
  874.7473 20 3
  874.7515 20 3
  874.7556 31 4
  874.7598 20 3
  874.7806 20 3
  874.7849 61 8
  874.789 41 6
  874.7932 51 7
  874.7974 31 4
  874.8057 31 4
  874.8182 31 4
  874.8224 41 6
  874.8349 20 3
  877.2906 20 3
  877.3992 20 3
  877.4243 20 3
  877.4369 20 3
  877.4619 20 3
  877.487 145 20
  877.4912 174 24
  877.4954 395 55
  877.4996 554 77
  877.5037 774 107
  877.5079 1125 156
  877.5121 1249 173
  877.5163 1991 276
  877.5204 2783 385
  877.5247 3443 477
  877.5288 3905 540
  877.533 4540 628
  877.5372 4968 688
  877.5413 5051 699
  877.5455 5606 776
  877.5497 6233 863
  877.5539 7218 999
  877.558 6170 854
  877.5623 5781 800
  877.5664 5001 692
  877.5706 4699 650
  877.5748 3811 527
  877.579 3336 462
  877.5831 2225 308
  877.5873 1576 218
  877.5915 1218 169
  877.5957 951 132
