  897.6039 49 17
  897.6081 32 11
  897.6124 12 4
  897.625 31 11
  897.6293 15 5
  897.6377 7 2
  897.6504 10 4
  898.0859 6 2
  898.4538 15 5
  898.4707 15 5
  898.4791 20 7
  898.4876 31 11
  898.4918 31 11
  898.4961 61 22
  898.5003 41 14
  898.5045 61 22
  898.5088 31 11
  898.513 66 23
  898.5172 61 22
  898.5214 66 23
  898.5257 66 23
  898.5299 31 11
  898.5341 87 31
  898.5384 56 20
  898.5426 25 9
  898.5468 20 7
  898.551 41 14
  898.5553 15 5
  898.5595 25 9
  898.5637 20 7
  898.5722 20 7
  898.5807 10 4
  898.6018 10 4
  898.6568 10 4
  901.2007 10 4
//
