ACCESSION: LQA00226
RECORD_TITLE: PE(16:1e/8-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(16:1e/8-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C41H74NO8P
CH$EXACT_MASS: 740.018
CH$SMILES: CCCCCCCCCCCCCC\C=C/OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC(O)\C=C/C=C\C\C=C/CCCCC
CH$IUPAC: InChI=1S/C41H74NO8P/c1-3-5-7-9-11-13-15-16-17-18-20-22-26-30-35-47-37-40(38-49-51(45,46)48-36-34-42)50-41(44)33-29-25-24-28-32-39(43)31-27-23-21-19-14-12-10-8-6-4-2/h12,14,21,23-24,27-28,30-31,35,39-40,43H,3-11,13,15-20,22,25-26,29,32-34,36-38,42H2,1-2H3,(H,45,46)/b14-12-,23-21-,28-24-,31-27-,35-30-
CH$LINK: INCHIKEY NJTPXIVRIMQPFB-LHBRILSUSA-N
CH$LINK: PUBCHEM CID:134752550
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 738.5079288
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-000i-0238400900-ec48d67ec8f73cc53865
PK$NUM_PEAK: 677
PK$PEAK: m/z int. rel.int.
  275.2327 31 10
  275.235 61 19
  275.2374 204 64
  275.2397 163 51
  275.242 51 16
  275.2444 92 29
  275.2467 102 32
  275.2491 92 29
  275.2514 41 13
  275.2538 31 10
  283.2015 31 10
  283.2086 20 6
  283.211 31 10
  290.3336 20 6
  291.2335 20 6
  291.2359 41 13
  291.2383 20 6
  291.2407 20 6
  291.2431 31 10
  292.7621 22 7
  300.3893 22 7
  300.4798 20 6
  300.7783 22 7
  300.9349 22 7
  301.1675 21 7
  301.1773 22 7
  301.1822 21 7
  301.1846 21 7
  301.1871 32 10
  301.1895 11 3
  301.192 66 21
  301.1944 126 40
  301.1969 112 35
  301.1993 155 49
  301.2018 458 144
  301.2042 494 155
  301.2067 697 219
  301.2091 1263 396
  301.2116 1209 379
  301.214 1257 394
  301.2165 1570 492
  301.2189 1563 490
  301.2214 1471 461
  301.2238 1539 483
  301.2263 990 310
  301.2287 793 249
  301.2312 520 163
  301.2336 403 126
  301.2361 267 84
  301.2385 160 50
  301.241 150 47
  301.2434 91 29
  301.2458 58 18
  301.2483 12 4
  301.2508 20 6
  301.2532 34 11
  301.2654 11 3
  301.3732 11 3
  301.7677 12 4
  301.8315 11 3
  302.214 20 6
  302.2164 20 6
  302.2189 44 14
  302.2262 31 10
  302.2311 20 6
  303.2278 20 6
  317.2134 31 10
  317.2234 20 6
  318.2068 20 6
  318.2219 31 10
  318.2269 20 6
  318.2446 22 7
  318.2597 22 7
  318.2647 23 7
  318.3176 21 7
  319.0077 23 7
  319.1917 11 3
  319.1967 33 10
  319.1992 59 18
  319.2018 82 26
  319.2043 173 54
  319.2068 263 82
  319.2094 249 78
  319.2119 528 166
  319.2144 861 270
  319.2169 1065 334
  319.2194 1732 543
  319.222 1577 494
  319.2245 1899 595
  319.227 2453 769
  319.2295 2127 667
  319.232 2449 768
  319.2346 1888 592
  319.2371 1764 553
  319.2396 1171 367
  319.2421 883 277
  319.2446 641 201
  319.2472 376 118
  319.2497 295 92
  319.2522 122 38
  319.2547 124 39
  319.2572 72 23
  319.2598 11 3
  319.2623 12 4
  319.2648 12 4
  319.2673 25 8
  319.2925 13 4
  319.343 12 4
  319.6733 12 4
  320.009 11 3
  320.2185 20 6
  320.2235 31 10
  320.2261 20 6
  320.2311 12 4
  320.2336 41 13
  320.2362 41 13
  320.2387 31 10
  320.2412 31 10
  375.2063 20 6
  375.2117 20 6
  375.2172 31 10
  375.2199 31 10
  375.2227 31 10
  375.2254 71 22
  375.2281 61 19
  375.2309 71 22
  375.2336 51 16
  375.2363 41 13
  375.2391 20 6
  375.2418 41 13
  375.2445 31 10
  375.2473 31 10
  375.2527 20 6
  391.2507 21 7
  393.2515 21 7
  414.9363 21 7
  417.8183 31 10
  418.2308 31 10
  418.2337 31 10
  418.2395 20 6
  418.2452 51 16
  418.2481 74 23
  418.251 126 40
  418.2539 95 30
  418.2568 158 50
  418.2597 272 85
  418.2625 180 56
  418.2654 297 93
  418.2683 454 142
  418.2712 307 96
  418.2741 507 159
  418.277 381 119
  418.2798 318 100
  418.2827 338 106
  418.2856 201 63
  418.2885 179 56
  418.2914 232 73
  418.2943 169 53
  418.2972 64 20
  418.3 64 20
  418.3029 53 17
  418.3058 11 3
  418.3087 42 13
  418.3116 11 3
  418.3289 11 3
  419.2616 20 6
  419.2645 11 3
  419.2847 20 6
  434.2665 20 6
  434.9018 20 6
  434.9165 20 6
  434.9254 20 6
  435.9117 22 7
  436.2446 34 11
  436.2476 22 7
