ACCESSION: LQA00326
RECORD_TITLE: PI(16:0e/20-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(16:0e/20-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C45H81O13P
CH$EXACT_MASS: 861.106
CH$SMILES: CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCO
CH$IUPAC: InChI=1S/C45H81O13P/c1-2-3-4-5-6-7-8-9-17-20-23-26-29-32-35-55-36-38(37-56-59(53,54)58-45-43(51)41(49)40(48)42(50)44(45)52)57-39(47)33-30-27-24-21-18-15-13-11-10-12-14-16-19-22-25-28-31-34-46/h10,12-13,15-16,19,21,24,38,40-46,48-52H,2-9,11,14,17-18,20,22-23,25-37H2,1H3,(H,53,54)/b12-10-,15-13-,19-16-,24-21-
CH$LINK: INCHIKEY KIKHEDXETIJZRU-KRYFGHCNSA-N
CH$LINK: PUBCHEM CID:134743861
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 859.5342032
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0a4i-0039010070-7e10a33c1b67fbc78f71
PK$NUM_PEAK: 413
PK$PEAK: m/z int. rel.int.
  324.6439 12 9
  325.4303 12 9
  325.448 12 9
  326.4127 12 9
  326.4178 12 9
  328.7812 12 9
  328.8117 12 9
  377.2177 24 18
  377.2205 36 27
  377.2232 47 35
  377.2259 67 49
  377.2286 90 66
  377.2314 139 102
  377.2341 235 173
  377.2368 333 245
  377.2395 354 261
  377.2422 519 382
  377.245 509 375
  377.2477 398 293
  377.2504 401 295
  377.2531 193 142
  377.2559 192 141
  377.2586 175 129
  377.2613 116 85
  377.264 24 18
  377.2668 59 43
  377.2695 24 18
  377.2749 12 9
  395.2459 36 27
  395.2487 24 18
  395.2515 12 9
  395.2543 12 9
  395.2571 24 18
  395.2599 24 18
  395.2627 12 9
  395.2654 12 9
  395.2682 12 9
  395.3017 12 9
  395.3101 12 9
  429.0075 12 9
  429.0133 12 9
  467.646 12 9
  467.6491 12 9
  472.3072 12 9
  472.3163 12 9
  477.0894 12 9
  477.1048 12 9
  483.5259 24 18
  483.5444 12 9
  507.3531 12 9
  507.3563 12 9
  519.3074 12 9
  519.3202 12 9
  539.2669 24 18
  539.2734 24 18
  539.2767 67 49
  539.28 36 27
  539.2832 79 58
  539.2864 89 66
  539.2897 106 78
  539.293 80 59
  539.2962 76 56
  539.2995 82 60
  539.3027 113 83
  539.306 88 65
  539.3093 72 53
  539.3125 60 44
  539.3157 24 18
  539.319 12 9
  539.3223 12 9
  539.3288 12 9
  539.332 12 9
  539.3549 12 9
  539.8337 24 18
  557.2562 12 9
  557.2695 24 18
  557.2728 24 18
  557.2794 12 9
  557.2827 12 9
  557.2894 48 35
  557.2927 12 9
  557.296 48 35
  557.2993 69 51
  557.3026 60 44
  557.3059 100 74
  557.3092 68 50
  557.3125 48 35
  557.3159 48 35
  557.3192 60 44
  557.3224 12 9
  557.329 36 27
  557.3357 12 9
  557.3423 36 27
  576.1465 12 9
  576.1499 12 9
  697.4591 24 18
  697.4739 12 9
  697.4813 12 9
  697.4924 36 27
  697.5184 12 9
  856.8021 12 9
  856.8103 36 27
