ACCESSION: LQA00341
RECORD_TITLE: PI(18:0/15-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(18:0/15-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C47H83O14P
CH$EXACT_MASS: 903.143
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/C(O)CCCCC
CH$IUPAC: InChI=1S/C47H83O14P/c1-3-5-7-8-9-10-11-12-13-14-17-20-23-26-30-34-40(49)58-36-39(37-59-62(56,57)61-47-45(54)43(52)42(51)44(53)46(47)55)60-41(50)35-31-27-24-21-18-15-16-19-22-25-29-33-38(48)32-28-6-4-2/h15-16,21-22,24-25,29,33,38-39,42-48,51-55H,3-14,17-20,23,26-28,30-32,34-37H2,1-2H3,(H,56,57)/b16-15-,24-21-,25-22-,33-29+
CH$LINK: INCHIKEY HNBUAJVKBGPCHT-RROHPHJISA-N
CH$LINK: PUBCHEM CID:134735825
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 901.5447679
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0udi-0021000009-18a25b022dd4311f4ffe
PK$NUM_PEAK: 1108
PK$PEAK: m/z int. rel.int.
  301.2526 12 0
  301.255 20 1
  301.2624 12 0
  301.3138 11 0
  301.9804 11 0
  302.2085 22 1
  302.2133 20 1
  302.2158 20 1
  302.2207 31 1
  302.2232 41 2
  302.2256 31 1
  302.233 31 1
  302.2354 20 1
  315.0227 20 1
  315.0302 71 3
  315.0327 61 2
  315.0352 92 4
  315.0377 122 5
  315.0403 122 5
  315.0428 112 4
  315.0452 173 7
  315.0478 214 9
  315.0503 184 7
  315.0528 184 7
  315.0553 153 6
  315.0578 133 5
  315.0603 61 2
  315.0628 51 2
  315.0653 31 1
  315.0678 31 1
  315.0728 20 1
  317.2102 31 1
  318.2137 20 1
  318.2162 31 1
  318.2238 34 1
  318.2263 31 1
  318.2288 20 1
  318.2389 31 1
  318.2792 23 1
  318.2867 23 1
  318.8937 24 1
  319.1835 24 1
  319.186 32 1
  319.191 23 1
  319.1961 12 0
  319.1986 84 3
  319.2011 70 3
  319.2037 183 7
  319.2062 188 8
  319.2087 487 20
  319.2112 717 29
  319.2137 1142 46
  319.2162 1847 74
  319.2188 2136 86
  319.2213 2313 93
  319.2238 3129 126
  319.2263 3147 126
  319.2289 3215 129
  319.2314 2875 115
  319.2339 2817 113
  319.2364 2284 92
  319.239 1599 64
  319.2415 1068 43
  319.244 475 19
  319.2465 621 25
  319.2491 349 14
  319.2516 315 13
  319.2541 116 5
  319.2566 103 4
  319.2591 14 1
  319.2616 52 2
  319.2642 26 1
  319.2667 13 1
  319.3272 12 0
  319.3398 13 1
  319.7232 14 1
  320.2103 20 1
  320.2153 41 2
  320.2179 33 1
  320.2204 61 2
  320.2229 20 1
  320.2279 31 1
  320.2305 67 3
  320.233 51 2
  320.2355 71 3
  320.238 51 2
  320.2406 31 1
  320.2456 20 1
  320.2532 20 1
  320.2582 20 1
  350.7837 20 1
  405.8915 32 1
  417.9414 20 1
  418.2444 22 1
  418.6744 22 1
  419.2087 21 1
  419.2202 55 2
