ACCESSION: LQA00210
RECORD_TITLE: PE(16:1e/12-HEPE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(16:1e/12-HEPE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C41H72NO8P
CH$EXACT_MASS: 738.002
CH$SMILES: CCCCCCCCCCCCCC\C=C/OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C/C(O)C\C=C/C\C=C/CC
CH$IUPAC: InChI=1S/C41H72NO8P/c1-3-5-7-9-11-12-13-14-15-16-19-22-26-30-35-47-37-40(38-49-51(45,46)48-36-34-42)50-41(44)33-29-25-21-18-17-20-24-28-32-39(43)31-27-23-10-8-6-4-2/h6,8,18,20-21,23-24,27-28,30,32,35,39-40,43H,3-5,7,9-17,19,22,25-26,29,31,33-34,36-38,42H2,1-2H3,(H,45,46)/b8-6-,21-18-,24-20-,27-23-,32-28+,35-30-
CH$LINK: INCHIKEY ZAPQUMCEMOGHEH-WVKUTOATSA-N
CH$LINK: PUBCHEM CID:134783372
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 736.4922788
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-000i-0235300900-fabf46339d3f8aa05f51
PK$NUM_PEAK: 413
PK$PEAK: m/z int. rel.int.
  436.2831 800 410
  436.286 853 437
  436.289 658 337
  436.2919 635 325
  436.2949 659 338
  436.2978 374 192
  436.3008 385 197
  436.3037 187 96
  436.3067 164 84
  436.3096 132 68
  436.3126 88 45
  436.3155 11 6
  436.3185 33 17
  436.3243 11 6
  436.3302 11 6
  436.3362 11 6
  437.265 20 10
  437.2768 20 10
  437.2827 11 6
  438.8686 11 6
  496.2513 20 10
  545.3355 41 21
  545.342 51 26
  545.3453 31 16
  545.3519 20 10
  545.3552 20 10
  545.3651 20 10
  599.4151 20 10
  661.4686 20 10
  662.4488 41 21
  662.4778 41 21
  662.4851 20 10
  662.4888 20 10
  662.4924 20 10
  662.5142 20 10
  734.1509 20 10
  734.1585 20 10
  734.1815 20 10
  734.1929 20 10
  734.2579 23 12
  736.4158 31 16
  736.4427 81 42
  736.4465 152 78
  736.4503 164 84
  736.4542 399 205
  736.458 439 225
  736.4618 570 292
  736.4656 627 321
  736.4695 783 401
  736.4733 1061 544
  736.4771 1276 654
  736.481 1652 847
  736.4848 1686 864
  736.4886 1581 810
  736.4924 1871 959
  736.4963 1899 973
  736.5001 1882 965
  736.5039 1949 999
  736.5078 1921 985
  736.5116 1607 824
  736.5154 1487 762
  736.5192 1098 563
  736.5231 605 310
  736.5269 681 349
  736.5307 405 208
  736.5345 265 136
  736.5384 204 105
  736.5422 75 38
  736.546 113 58
  736.5499 124 64
  736.5537 64 33
  736.5576 26 13
  736.5613 25 13
  736.569 25 13
  736.5729 20 10
  736.5882 20 10
  737.1244 13 7
  737.4692 11 6
  737.473 20 10
  737.4769 51 26
  737.4807 20 10
  737.4845 13 7
  737.496 61 31
  737.4998 31 16
  737.5037 20 10
  737.5075 20 10
  737.5114 20 10
  737.5152 41 21
  737.519 31 16
  737.5228 20 10
  737.5343 20 10
  737.542 20 10
//
