ACCESSION: NGA04358
RECORD_TITLE: 9,13-Epoxy-3,15,16,18-labdanetetrol; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0; [M+HCOO]-
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Diterpenoids, Labdane diterpenoids
CH$NAME: 9,13-Epoxy-3,15,16,18-labdanetetrol
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C20H36O5
CH$EXACT_MASS: 356.5069
CH$SMILES: C[C@H]1CCC2[C@](C)(CC[C@H](O)[C@@]2(C)CO)[C@@]12CCC(CO)(CCO)O2
CH$IUPAC: InChI=1S/C20H36O5/c1-14-4-5-15-17(2,12-22)16(24)6-7-18(15,3)20(14)9-8-19(13-23,25-20)10-11-21/h14-16,21-24H,4-13H2,1-3H3/t14-,15?,16-,17-,18-,19?,20+/m0/s1
CH$LINK: INCHIKEY XYPPDQHBNJURHU-NSGLWTTCSA-N
CH$LINK: PUBCHEM CID:12304971
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+HCOO]-
PK$SPLASH: splash10-0fri-3988880000-ba283fbb6f31af56b975
PK$NUM_PEAK: 3868
PK$PEAK: m/z int. rel.int.
  92.9 13.29 13
  93.8 6.14 6
  93.9 11.47 11
  94.0 15.15 15
  94.1 14.46 14
  94.2 10.22 10
  94.4 6.19 6
  94.5 11.23 11
  94.6 17.44 17
  94.7 19.7 19
  94.8 16.81 16
  95.7 8.0 7
  95.8 12.12 12
  95.9 16.36 16
  96.0 17.41 17
  96.1 14.86 14
  96.2 11.05 11
  96.4 10.06 10
  96.5 12.75 12
  96.6 14.59 14
  96.7 14.25 14
  97.6 10.67 10
  97.7 12.8 12
  97.8 14.52 14
  97.9 14.9 14
  98.0 13.67 13
  98.1 11.36 11
  98.8 6.34 6
  98.9 8.2 8
  99.0 13.72 13
  99.1 18.31 18
  99.2 17.86 17
  99.3 13.29 13
  99.5 9.01 9
  99.6 11.61 11
  99.7 14.34 14
  99.8 15.76 15
  99.9 15.6 15
  100.0 14.01 13
  100.8 5.67 5
  100.9 10.71 10
  101.0 16.38 16
  101.1 16.99 16
  101.2 11.92 11
  101.4 5.98 5
  101.5 9.91 9
  101.6 14.34 14
  101.7 16.43 16
  101.8 15.78 15
  101.9 13.38 13
  102.7 10.22 10
  102.8 13.16 13
  102.9 16.07 16
  103.0 15.28 15
  103.1 10.09 10
  103.3 2.24 2
  103.4 6.28 6
  103.5 12.82 12
  103.6 16.32 16
  103.7 14.05 14
  104.0 7.82 7
  104.1 13.96 13
  104.2 18.6 18
  104.3 17.82 17
  104.4 12.64 12
  104.6 8.72 8
  104.7 13.11 13
  104.8 16.7 16
  104.9 16.45 16
  105.0 13.51 13
  105.3 10.26 10
  105.4 12.98 12
  105.5 15.82 15
  105.6 16.18 16
  105.7 12.91 12
  105.8 7.69 7
  106.0 4.64 4
  106.1 8.94 8
  106.2 13.02 13
  106.3 13.67 13
  106.4 11.83 11
  106.5 10.98 10
  106.6 13.02 13
  106.7 16.38 16
  106.8 17.46 17
  106.9 13.98 13
  107.0 7.24 7
  107.2 2.24 2
  107.3 8.7 8
  107.4 16.58 16
  107.5 20.28 20
  107.6 18.0 17
  107.7 12.66 12
  108.5 6.03 6
  108.6 10.2 10
  108.7 15.08 15
  108.8 16.74 16
  108.9 13.49 13
  109.2 7.13 7
  109.3 14.12 14
  109.4 18.51 18
  109.5 15.8 15
  109.6 8.92 8
  109.8 6.72 6
  109.9 12.28 12
  110.0 16.52 16
  110.1 15.91 15
  110.2 10.85 10
  110.4 6.41 6
  110.5 12.28 12
  110.6 18.78 18
  110.7 20.91 20
  110.8 17.68 17
  110.9 12.35 12
  111.1 11.21 11
  111.2 15.33 15
  111.3 17.55 17
  111.4 15.73 15
  111.5 11.47 11
  111.7 8.63 8
  111.8 12.28 12
  111.9 15.96 15
  112.0 16.45 16
  112.1 13.2 13
  112.2 8.49 8
  112.4 5.87 5
  112.5 8.54 8
  112.6 10.82 10
  112.7 10.96 10
  112.8 9.82 9
  112.9 9.82 9
  113.0 12.1 12
  113.1 15.49 15
  113.2 17.1 17
  113.3 14.77 14
  113.4 9.44 9
  113.6 6.28 6
  113.7 11.32 11
  113.8 16.0 15
  113.9 16.16 16
  114.0 11.83 11
  114.2 6.12 6
  114.3 10.11 10
  114.4 15.69 15
  114.5 18.33 18
  114.6 16.49 16
  114.7 12.44 12
  114.9 9.66 9
  115.0 12.91 12
  115.1 16.85 16
  115.2 18.09 18
  115.3 14.97 14
  115.6 9.35 9
  115.7 14.37 14
  115.8 18.27 18
  115.9 18.53 18
  116.0 15.69 15
  116.1 11.99 11
  116.3 10.65 10
  116.4 12.75 12
  116.5 13.78 13
  116.6 12.26 12
  116.9 9.05 9
  117.0 12.17 12
  117.1 14.32 14
  117.2 13.56 13
  117.4 9.79 9
  117.5 11.79 11
  117.6 15.46 15
  117.7 16.92 16
  117.8 13.6 13
  117.9 6.66 6
  118.1 0.63 0
  118.2 6.99 6
  118.3 15.42 15
  118.4 19.86 19
  118.5 17.68 17
  118.6 11.47 11
  118.8 7.69 7
  118.9 12.51 12
  119.0 16.02 16
  119.1 14.52 14
  119.2 9.5 9
  119.4 6.84 6
  119.5 10.24 10
  119.6 12.01 11
  119.7 10.06 10
  119.9 5.13 5
  120.0 8.34 8
  120.1 14.66 14
  120.2 19.99 19
  120.3 20.69 20
  120.4 16.74 16
  120.5 11.83 11
  121.3 6.57 6
  121.4 12.17 12
  121.5 18.56 18
  121.6 19.97 19
  121.7 14.95 14
  121.8 7.91 7
  122.0 7.28 7
  122.1 12.21 12
  122.2 14.3 14
  122.3 11.47 11
  122.6 6.61 6
  122.7 10.82 10
  122.8 14.48 14
  122.9 15.71 15
  123.0 14.1 14
  123.2 11.61 11
  123.3 14.68 14
  123.4 17.97 17
  123.5 17.48 17
  123.6 12.35 12
  123.7 5.89 5
  123.9 4.86 4
  124.0 9.46 9
  124.1 12.1 12
  124.2 11.14 11
  124.5 9.12 9
  124.6 12.84 12
  124.7 16.0 15
  124.8 16.0 15
  124.9 12.51 12
  125.1 8.9 8
  125.2 13.72 13
  125.3 19.39 19
  125.4 20.69 20
  125.5 16.0 15
  125.6 8.9 8
  125.8 7.89 7
  125.9 14.41 14
  126.0 19.72 19
  126.1 20.15 20
  126.2 15.93 15
  126.3 10.89 10
  126.5 10.71 10
  126.6 13.85 13
  126.7 15.19 15
  126.8 13.87 13
  127.6 7.6 7
  127.7 11.72 11
  127.8 17.01 16
  127.9 18.83 18
  128.0 15.31 15
  128.1 8.76 8
  128.3 4.26 4
  128.4 9.93 9
  128.5 16.9 16
  128.6 19.88 19
  128.7 16.67 16
  128.8 10.0 9
  129.0 7.4 7
  129.1 13.45 13
  129.2 17.57 17
  129.3 15.49 15
  129.4 9.52 9
  129.6 7.55 7
  129.7 12.15 12
  129.8 14.3 14
  129.9 11.81 11
  130.0 7.17 7
  130.2 5.8 5
  130.3 10.26 10
  130.4 14.79 14
  130.5 16.23 16
  130.6 13.56 13
  130.8 8.25 8
  130.9 12.03 12
  131.0 18.2 18
  131.1 21.87 21
  131.2 20.35 20
  131.3 14.99 14
  131.6 9.95 9
  131.7 13.96 13
  131.8 16.72 16
  131.9 16.27 16
  132.0 13.54 13
  132.2 11.36 11
  132.3 13.27 13
  132.4 14.75 14
  132.5 14.3 14
  132.6 12.26 12
  132.8 10.04 10
  132.9 12.33 12
  133.0 15.46 15
  133.1 16.88 16
  133.2 15.28 15
  133.3 11.88 11
  133.5 8.81 8
  133.6 11.36 11
  133.7 14.68 14
  133.8 16.02 16
  133.9 14.43 14
  134.7 9.26 9
  134.8 12.6 12
  134.9 17.32 17
  135.0 19.54 19
  135.1 16.54 16
  135.2 10.09 10
  135.4 7.06 7
  135.5 12.21 12
  135.6 15.91 15
  135.7 14.93 14
  136.0 9.97 9
  136.1 16.14 16
  136.2 22.37 22
  136.3 23.98 23
  136.4 19.5 19
  136.5 12.3 12
  136.7 8.56 8
  136.8 13.33 13
  136.9 17.03 17
  137.0 15.82 15
  137.1 10.67 10
  137.3 6.57 6
  137.4 10.69 10
  137.5 14.99 14
  137.6 16.74 16
  137.7 15.53 15
  138.5 8.47 8
  138.6 12.33 12
  138.7 18.22 18
  138.8 21.76 21
  138.9 19.54 19
  139.0 12.26 12
  139.2 3.54 3
  139.3 8.31 8
  139.4 15.06 15
  139.5 18.0 17
  139.6 14.84 14
  139.9 7.28 7
  140.0 13.54 13
  140.1 18.65 18
  140.2 18.62 18
  140.3 13.74 13
  140.5 6.7 6
  140.6 10.6 10
  140.7 16.16 16
  140.8 18.24 18
  140.9 15.37 15
  141.1 10.74 10
  141.2 14.16 14
  141.3 17.82 17
  141.4 18.13 18
  141.5 14.97 14
  141.7 10.78 10
  141.8 14.01 13
  141.9 18.65 18
  142.0 20.8 20
  142.1 18.02 18
  142.2 11.92 11
  142.4 7.55 7
  142.5 12.1 12
  142.6 16.54 16
  142.7 17.44 17
  142.8 14.77 14
  143.7 5.51 5
  143.8 11.05 11
  143.9 16.79 16
  144.0 18.38 18
  144.1 14.88 14
  145.0 9.32 9
  145.1 13.81 13
  145.2 17.01 16
  145.3 16.05 16
  145.6 9.97 9
  145.7 15.22 15
  145.8 19.61 19
  145.9 18.92 18
  146.0 12.86 12
  146.2 4.3 4
  146.3 9.37 9
  146.4 17.06 17
  146.5 20.84 20
  146.6 18.24 18
  146.7 12.21 12
  146.9 7.42 7
  147.0 11.21 11
  147.1 15.84 15
  147.2 17.44 17
  147.3 14.48 14
  147.6 10.62 10
  147.7 15.87 15
  147.8 18.83 18
  147.9 17.35 17
  148.0 13.63 13
  148.2 12.73 12
  148.3 15.64 15
  148.4 17.14 17
  148.5 15.55 15
  148.6 11.9 11
  148.8 9.21 9
  148.9 12.42 12
  149.0 15.98 15
  149.1 16.67 16
  149.2 13.18 13
  149.5 8.31 8
  149.6 14.57 14
  149.7 18.4 18
  149.8 16.41 16
  149.9 10.24 10
  150.1 5.65 5
  150.2 10.69 10
  150.3 15.96 15
  150.4 17.57 17
  150.5 15.28 15
  150.6 11.54 11
  150.8 9.77 9
  150.9 12.26 12
  151.0 13.56 13
  151.1 11.79 11
  151.3 8.25 8
  151.4 11.79 11
  151.5 16.88 16
  151.6 19.45 19
  151.7 17.35 17
  151.8 12.37 12
  152.0 9.39 9
  152.1 13.31 13
  152.2 16.85 16
  152.3 17.19 17
  152.4 14.57 14
  152.6 11.56 11
  152.7 14.3 14
  152.8 17.48 17
  152.9 17.53 17
  153.0 13.13 13
  153.1 6.66 6
  153.3 4.89 4
  153.4 10.82 10
  153.5 15.73 15
  153.6 15.93 15
  153.7 12.37 12
  153.9 9.46 9
  154.0 12.57 12
  154.1 15.64 15
  154.2 16.27 16
  154.3 13.96 13
  154.6 8.58 8
  154.7 13.02 13
  154.8 17.32 17
  154.9 17.75 17
  155.0 13.87 13
