ACCESSION: CB000075
RECORD_TITLE: Vincristine sulfate; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Alkaloids derived from tryptophan, Secologanin typtamine alkaloids, Indole alkaloids
CH$NAME: Vincristine sulfate
CH$COMPOUND_CLASS: Alkaloids
CH$FORMULA: C46H58N4O14S
CH$EXACT_MASS: 923.0576
CH$SMILES: CC[C@]1(O)CC2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C45CCN4CC=C[C@@](CC)(C(OC(C)=O)[C@]3(O)C(=O)OC)[C@H]45)C2)C1.O=S(=O)(O)O
CH$IUPAC: InChI=1S/C46H56N4O10.H2O4S/c1-7-42(55)22-28-23-45(40(53)58-5,36-30(14-18-48(24-28)25-42)29-12-9-10-13-33(29)47-36)32-20-31-34(21-35(32)57-4)50(26-51)38-44(31)16-19-49-17-11-15-43(8-2,37(44)49)39(60-27(3)52)46(38,56)41(54)59-6;1-5(2,3)4/h9-13,15,20-21,26,28,37-39,47,55-56H,7-8,14,16-19,22-25H2,1-6H3;(H2,1,2,3,4)/t28?,37-,38?,39?,42-,43+,44?,45-,46-;/m0./s1
CH$LINK: CAS 2068-78-2
CH$LINK: CHEMSPIDER 21111883
CH$LINK: INCHIKEY AQTQHPDCURKLKT-JTHKZTNMSA-N
CH$LINK: PUBCHEM CID:44315841
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-03di-0005900020-70fca2457efc35e15bb8
PK$NUM_PEAK: 188
PK$PEAK: m/z int. rel.int.
  825.0000 2318279.7500 215
  825.1000 2300278.5000 213
  825.2000 2166669.2500 200
  825.3000 2080577.1250 192
  825.4000 1775212.2500 164
  825.5000 1444017.6250 133
  825.6000 1335152.7500 123
  825.7000 1393356.6250 128
  825.8000 1484134.6250 137
  825.9000 1522623.1250 140
  826.0000 1539366.8750 142
  826.1000 1620115.6250 150
  826.2000 1440931.6250 133
  826.3000 1169626.2500 108
  826.4000 1008872.1250 93
  826.5000 632216.5000 57
  826.6000 483005.9688 44
  826.7000 543181.6250 49
  826.8000 546124.6875 49
  826.9000 526551.9375 48
  827.0000 581698.7500 53
  827.1000 542581.6250 49
  827.2000 587641.9375 53
  827.3000 402828.7500 36
  827.4000 326051.8750 29
//
