ACCESSION: NGA03237
RECORD_TITLE: allopregnanolone; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Animal, Pregnanes
CH$NAME: allopregnanolone
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C21H34O2
CH$EXACT_MASS: 318.50393
CH$SMILES: CC(=O)C1CCC2C3CC[C@H]4C[C@H](O)CC[C@]4(C)C3CC[C@]12C
CH$IUPAC: InChI=1S/C21H34O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h14-19,23H,4-12H2,1-3H3/t14-,15+,16?,17?,18?,19?,20-,21+/m0/s1
CH$LINK: CAS 516-54-1
CH$LINK: PUBCHEM CID:83760 17216124
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-2900000000-3af51bd77728f50e93f5
PK$NUM_PEAK: 453
PK$PEAK: m/z int. rel.int.
  122.6 2.94 2
  122.7 5.39 5
  122.8 8.25 8
  122.9 10.72 10
  123.0 12.21 12
  123.1 12.79 12
  123.2 12.69 12
  123.3 11.64 11
  123.4 9.09 9
  123.5 5.31 5
  123.6 1.77 1
  130.4 1.42 1
  130.5 2.92 2
  130.6 5.04 5
  130.7 7.63 7
  130.8 10.03 10
  130.9 10.98 10
  131.0 9.68 9
  131.1 7.31 7
  132.3 2.54 2
  132.4 4.76 4
  132.5 8.53 8
  132.6 13.98 13
  132.7 21.11 21
  132.8 29.9 29
  132.9 39.6 39
  133.0 47.83 47
  133.1 51.47 51
  133.2 49.05 49
  133.3 41.41 41
  133.4 30.09 30
  133.5 17.1 17
  133.6 5.85 5
  133.7 0.47 0
  134.3 0.82 0
  134.4 2.47 2
  134.5 6.05 6
  134.6 12.22 12
  134.7 22.18 22
  134.8 37.14 37
  134.9 54.66 54
  135.0 68.11 68
  135.1 72.64 72
  135.2 69.9 69
  135.3 63.41 63
  135.4 52.02 51
  135.5 33.7 33
  135.6 13.36 13
  135.7 0.63 0
  144.3 0.92 0
  144.4 2.68 2
  144.5 4.67 4
  144.6 6.13 6
  144.7 7.73 7
  144.8 11.42 11
  144.9 17.58 17
  145.0 23.27 23
  145.1 25.24 25
  145.2 23.47 23
  145.3 19.89 19
  145.4 15.16 15
  145.5 9.27 9
  145.6 3.76 3
  146.2 0.91 0
  146.3 1.91 1
  146.4 4.72 4
  146.5 9.64 9
  146.6 16.44 16
  146.7 25.04 25
  146.8 35.16 35
  146.9 45.2 45
  147.0 52.92 52
  147.1 57.37 57
  147.2 58.53 58
  147.3 54.79 54
  147.4 43.62 43
  147.5 26.21 26
  147.6 9.22 9
  147.7 0.12 0
  148.5 2.55 2
  148.6 3.9 3
  148.7 6.74 6
  148.8 11.89 11
  148.9 18.14 18
  149.0 22.77 22
  149.1 24.14 24
  149.2 22.87 22
  149.3 20.19 20
  149.4 16.22 16
  149.5 10.72 10
  149.6 4.83 4
  149.7 0.71 0
  156.8 1.26 1
  156.9 3.1 3
  157.0 5.63 5
  157.1 7.19 7
  157.2 6.79 6
  157.3 4.96 4
  157.4 2.95 2
  158.5 2.09 2
  158.6 3.81 3
  158.7 6.43 6
  158.8 9.24 9
  158.9 11.61 11
  159.0 14.34 14
  159.1 18.55 18
  159.2 23.07 23
  159.3 24.45 24
  159.4 20.39 20
  159.5 12.47 12
  159.6 5.02 5
  159.7 0.85 0
  160.4 0.44 0
  160.5 2.21 2
  160.6 5.89 5
  160.7 13.8 13
  160.8 26.17 26
  160.9 40.91 40
  161.0 53.43 53
  161.1 59.68 59
  161.2 59.48 59
  161.3 55.16 55
  161.4 46.89 46
  161.5 33.03 32
  161.6 15.95 15
  161.7 2.64 2
  162.5 1.62 1
  162.6 3.95 3
  162.7 7.14 7
  162.8 10.47 10
  162.9 13.66 13
  163.0 16.81 16
  163.1 19.44 19
  163.2 20.37 20
  163.3 18.88 18
  163.4 15.2 15
  163.5 10.14 10
  163.6 4.89 4
  163.7 1.2 1
  170.9 2.27 2
  171.0 4.15 4
  171.1 6.59 6
  171.2 7.95 7
  171.3 7.26 7
  171.4 5.07 5
  171.5 2.62 2
  172.4 1.53 1
  172.5 3.24 3
  172.6 5.16 5
  172.7 7.36 7
  172.8 11.11 11
  172.9 17.11 17
  173.0 23.5 23
  173.1 27.07 27
  173.2 26.96 26
  173.3 24.93 24
  173.4 21.53 21
  173.5 15.41 15
  173.6 7.23 7
  173.7 0.73 0
  174.4 1.2 1
  174.5 3.17 3
  174.6 7.36 7
  174.7 13.99 13
  174.8 22.45 22
  174.9 30.88 30
  175.0 37.26 37
  175.1 41.07 41
  175.2 42.95 42
  175.3 42.46 42
  175.4 37.35 37
