ACCESSION: NGA00928
RECORD_TITLE: 3-Hydroxy-12-ursen-28-oic acid; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: 3-Hydroxy-12-ursen-28-oic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C30H48O3
CH$EXACT_MASS: 456.7153
CH$SMILES: C[C@@H]1C2C3=CC[C@@H]4[C@@]5(C)CCC(O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CCC2(C(=O)O)CC[C@H]1C
CH$IUPAC: InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23?,24?,27+,28-,29-,30?/m1/s1
CH$LINK: CAS 77-52-1
CH$LINK: CHEMSPIDER 58472
CH$LINK: INCHIKEY WCGUUGGRBIKTOS-MUVOVJNASA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-004r-4889880000-f7c8891e237b8b46088a
PK$NUM_PEAK: 3788
PK$PEAK: m/z int. rel.int.
  91.4 18.11 18
  91.5 16.94 16
  91.6 12.36 12
  92.4 5.1 5
  92.5 9.9 9
  92.6 15.22 15
  92.7 16.72 16
  92.8 13.61 13
  93.1 9.83 9
  93.2 14.19 14
  93.3 16.59 16
  93.4 14.96 14
  93.5 10.69 10
  93.7 6.8 6
  93.8 10.49 10
  93.9 15.59 15
  94.0 17.75 17
  94.1 14.86 14
  95.0 7.71 7
  95.1 11.11 11
  95.2 13.92 13
  95.3 13.99 13
  95.4 11.5 11
  95.6 8.12 8
  95.7 11.0 10
  95.8 14.86 14
  95.9 15.66 15
  96.0 12.16 12
  96.2 7.23 7
  96.3 10.53 10
  96.4 14.68 14
  96.5 16.46 16
  96.6 14.87 14
  96.7 10.98 10
  97.6 5.42 5
  97.7 9.91 9
  97.8 14.17 14
  97.9 14.25 14
  98.0 11.04 11
  98.2 9.51 9
  98.3 12.04 12
  98.4 13.66 13
  98.5 13.5 13
  98.6 12.26 12
  99.5 7.49 7
  99.6 10.83 10
  99.7 13.87 13
  99.8 13.3 13
  100.0 8.07 8
  100.1 10.43 10
  100.2 14.97 14
  100.3 17.59 17
  100.4 16.4 16
  100.5 12.57 12
  100.8 8.47 8
  100.9 11.99 11
  101.0 14.83 14
  101.1 14.67 14
  101.2 11.86 11
  101.4 9.25 9
  101.5 12.28 12
  101.6 16.12 16
  101.7 17.75 17
  101.8 15.64 15
  102.7 6.92 6
  102.8 13.51 13
  102.9 17.59 17
  103.0 16.5 16
  103.1 11.36 11
  103.3 5.19 5
  103.4 9.7 9
  103.5 16.27 16
  103.6 19.7 19
  103.7 17.78 17
  103.8 12.92 12
  104.0 10.54 10
