ACCESSION: CB000225
RECORD_TITLE: Pteryxin; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Coumarins
CH$NAME: Pteryxin
CH$COMPOUND_CLASS: Benzopyranoids
CH$FORMULA: C21H22O7
CH$EXACT_MASS: 386.4053
CH$SMILES: C/C=C(/C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O
CH$IUPAC: InChI=1S/C21H22O7/c1-6-11(2)20(24)27-18-16-14(28-21(4,5)19(18)25-12(3)22)9-7-13-8-10-15(23)26-17(13)16/h6-10,18-19H,1-5H3/b11-6-
CH$LINK: CAS 13161-75-6
CH$LINK: CHEMSPIDER 4478570 4444773 4478775
CH$LINK: INCHIKEY LYUZYPKZQDYMEE-WDZFZDKYSA-N
CH$LINK: PUBCHEM CID:5316002
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-0090000000-2657eb24089d67e649ad
PK$NUM_PEAK: 174
PK$PEAK: m/z int. rel.int.
  772.5000 331356.9688 36
  772.6000 372703.7188 41
  772.7000 388308.9375 43
  772.8000 407779.1250 45
  772.9000 405372.6875 44
  773.0000 403112.1250 44
  773.1000 340690.9688 37
  773.2000 302334.0625 33
  773.3000 221099.1250 24
  773.6000 221244.9531 24
  773.7000 284103.6250 31
  789.5000 248226.0781 27
  789.6000 305834.3750 33
  789.7000 378683.3125 41
  789.8000 339961.7813 37
  789.9000 341128.5313 37
  790.0000 340399.3438 37
  790.1000 323627.2813 35
  790.2000 288260.1563 31
  790.3000 235027.2188 25
//
