ACCESSION: NGA03174
RECORD_TITLE: Hyrcanogenin; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Cardanolides
CH$NAME: Hyrcanogenin
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C23H30O5
CH$EXACT_MASS: 386.49255000000005
CH$SMILES: C[C@]12CCC3C(CCC4=CC(O)CC[C@@]43C=O)C1(O)CCC2C1=CC(=O)OC1
CH$IUPAC: InChI=1S/C23H30O5/c1-21-7-5-18-19(3-2-15-11-16(25)4-8-22(15,18)13-24)23(21,27)9-6-17(21)14-10-20(26)28-12-14/h10-11,13,16-19,25,27H,2-9,12H2,1H3/t16?,17?,18?,19?,21-,22-,23?/m1/s1
CH$LINK: CAS 14530-91-7
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0fkc-0925000000-b0ab4222ddd661e95e5c
PK$NUM_PEAK: 685
PK$PEAK: m/z int. rel.int.
  199.5 3.77 3
  200.7 3.7 3
  200.8 5.01 5
  200.9 7.02 7
  201.0 9.78 9
  201.1 12.33 12
  201.2 13.25 13
  201.3 11.97 11
  201.4 8.92 8
  201.5 5.11 5
  201.6 1.78 1
  203.0 4.07 4
  203.1 5.28 5
  203.2 6.42 6
  203.3 6.73 6
  203.4 5.6 5
  203.5 3.29 3
  208.6 2.26 2
  208.7 3.59 3
  208.8 5.45 5
  208.9 7.4 7
  209.0 8.85 8
  209.1 9.54 9
  209.2 9.54 9
  209.3 8.91 8
  209.4 7.44 7
  209.5 5.04 5
  209.6 2.34 2
  210.6 2.72 2
  210.7 3.81 3
  210.8 5.83 5
  210.9 9.05 9
  211.0 12.54 12
  211.1 14.7 14
  211.2 14.73 14
  211.3 13.03 13
  211.4 10.16 10
  211.5 6.46 6
  211.6 2.76 2
  212.6 0.78 0
  212.7 2.46 2
  212.8 5.37 5
  212.9 7.97 7
  213.0 8.13 8
  213.1 5.58 5
  213.2 2.49 2
  214.7 2.86 2
  214.8 4.56 4
  214.9 7.61 7
  215.0 10.75 10
  215.1 11.95 11
  215.2 10.61 10
  215.3 8.13 8
  215.4 5.83 5
  215.5 3.72 3
  215.6 1.64 1
  216.7 1.64 1
  216.8 3.04 3
  216.9 5.22 5
  217.0 7.39 7
  217.1 8.76 8
  217.2 9.03 9
  217.3 7.99 7
  217.4 5.54 5
  217.5 2.5 2
  218.6 1.06 1
  218.7 2.22 2
  218.8 3.79 3
  218.9 5.43 5
  219.0 6.37 6
  219.1 5.85 5
  219.2 4.01 4
  219.3 1.9 1
  220.8 0.91 0
  220.9 2.39 2
  221.0 5.17 5
  221.1 7.75 7
  221.2 8.4 8
  221.3 6.81 6
  221.4 4.08 4
  221.5 1.59 1
  222.9 3.14 3
  223.0 4.49 4
  223.1 6.14 6
  223.2 6.98 6
  223.3 6.17 6
  223.4 3.99 3
  223.5 1.7 1
  226.7 0.84 0
  226.8 2.59 2
  226.9 4.34 4
  227.0 4.65 4
  227.1 3.72 3
  227.2 3.02 3
  227.3 3.02 3
  227.4 2.71 2
  227.5 1.56 1
  227.6 0.4 0
  227.7 0.06 0
