ACCESSION: NGA00674
RECORD_TITLE: Foetoside C; LC-ESI-QQQ; MS2;  Frag=135.0V CID@10.0 ; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: Foetoside C
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C58H94O25
CH$EXACT_MASS: 1191.3808800000002
CH$SMILES: CC1OC(OC2C(OC3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC[C@]45C)C3(C)C)OCC(O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O
CH$IUPAC: InChI=1S/C58H94O25/c1-24-34(62)45(81-48-41(69)35(63)27(60)21-74-48)44(72)50(77-24)82-46-36(64)28(61)22-75-51(46)80-33-12-13-55(6)31(54(33,4)5)11-14-57(8)32(55)10-9-25-26-19-53(2,3)15-17-58(26,18-16-56(25,57)7)52(73)83-49-43(71)40(68)38(66)30(79-49)23-76-47-42(70)39(67)37(65)29(20-59)78-47/h9,24,26-51,59-72H,10-23H2,1-8H3/t24?,26?,27?,28?,29?,30?,31?,32?,33?,34?,35?,36?,37?,38?,39?,40?,41?,42?,43?,44?,45?,46?,47?,48?,49?,50?,51?,55-,56+,57+,58?/m0/s1
CH$LINK: CAS 94483-11-1
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-03di-6889444444-34145a2f4faaff0c6798
PK$NUM_PEAK: 9687
PK$PEAK: m/z int. rel.int.
  127.3 16.91 16
  127.4 16.27 16
  127.5 15.52 15
  127.6 15.05 15
  127.7 14.76 14
  127.8 14.18 14
  127.9 13.02 13
  128.2 11.07 11
  128.3 12.77 12
  128.4 15.43 15
  128.5 17.9 17
  128.6 19.37 19
  128.7 19.82 19
  128.8 19.35 19
  128.9 17.78 17
  129.0 15.33 15
  129.1 13.05 13
  129.2 11.59 11
  129.5 10.82 10
  129.6 11.94 11
  129.7 13.62 13
  129.8 14.9 14
  129.9 14.82 14
  130.0 13.33 13
  130.1 11.29 11
  130.4 9.9 9
  130.5 12.08 12
  130.6 14.31 14
  130.7 15.43 15
  130.8 15.23 15
  130.9 14.23 14
  131.0 12.86 12
  131.3 11.38 11
  131.4 12.19 12
  131.5 13.5 13
  131.6 15.29 15
  131.7 16.59 16
  131.8 16.17 16
  131.9 14.08 14
  132.0 11.78 11
  132.4 10.31 10
  132.5 11.77 11
  132.6 13.75 13
  132.7 15.38 15
  132.8 16.1 16
  132.9 16.15 16
  133.0 16.23 16
  133.1 16.86 16
  133.2 17.87 17
  133.3 18.58 18
  133.4 18.45 18
  133.5 17.51 17
  133.6 15.87 15
  133.7 13.7 13
  133.8 11.35 11
  134.1 9.83 9
  134.2 12.5 12
  134.3 15.92 15
  134.4 18.69 18
  134.5 19.53 19
  134.6 18.04 18
  134.7 14.76 14
  134.8 11.28 11
  135.1 10.46 10
  135.2 12.28 12
  135.3 14.07 14
  135.4 15.34 15
  135.5 15.71 15
  135.6 15.37 15
  135.7 14.75 14
  135.8 13.91 13
  135.9 12.48 12
  136.2 10.06 10
  136.3 11.86 11
  136.4 14.19 14
  136.5 16.18 16
  136.6 17.14 17
  136.7 17.07 17
  136.8 16.28 16
  136.9 14.76 14
  137.0 12.49 12
  137.2 10.84 10
  137.3 12.63 12
  137.4 14.48 14
  137.5 15.75 15
  137.6 17.02 17
  137.7 18.1 18
  137.8 18.06 18
  137.9 16.75 16
