ACCESSION: NGA00140
RECORD_TITLE: Dihydroqinghaosu, Dihydroartemisinin.; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Sesquiterpenoids
CH$NAME: Dihydroqinghaosu, Dihydroartemisinin.
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C15H24O5
CH$EXACT_MASS: 284.3555
CH$SMILES: C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)OC3O[C@]4(C)CCC1C32OO4
CH$IUPAC: InChI=1S/C15H24O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-13,16H,4-7H2,1-3H3/t8-,9-,10?,11+,12+,13?,14+,15?/m1/s1
CH$LINK: CAS 71939-50-9
CH$LINK: CHEMSPIDER 2272104
CH$LINK: INCHIKEY BJDCWCLMFKKGEE-LVSKYXAASA-N
CH$LINK: PUBCHEM CID:44713104
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-6988880000-5dcc1ac152f12cbd3f74
PK$NUM_PEAK: 1854
PK$PEAK: m/z int. rel.int.
  126.3 5.09 5
  126.4 8.81 8
  126.5 10.52 10
  126.6 8.77 8
  126.9 3.76 3
  127.0 6.6 6
  127.1 8.67 8
  127.2 8.12 8
  128.2 5.28 5
  128.3 7.34 7
  128.4 8.39 8
  128.5 7.4 7
  128.8 5.22 5
  128.9 7.64 7
  129.0 9.17 9
  129.1 8.33 8
  132.0 5.09 5
  132.1 8.2 8
  132.2 10.17 10
  132.3 9.1 9
  132.4 5.36 5
  133.3 4.64 4
  133.4 8.58 8
  133.5 11.27 11
  133.6 10.37 10
  133.7 6.75 6
  135.2 2.76 2
  135.3 5.77 5
  135.4 8.8 8
  135.5 9.4 9
  135.6 7.22 7
  136.5 3.71 3
  136.6 7.98 7
  136.7 11.26 11
  136.8 10.65 10
  136.9 6.84 6
  138.4 3.97 3
  138.5 7.09 7
  138.6 9.77 9
  138.7 9.95 9
  138.8 7.35 7
  139.7 3.18 3
  139.8 5.87 5
  139.9 8.29 8
  140.0 8.33 8
  142.3 3.74 3
  142.4 5.63 5
  142.5 6.97 6
  142.6 6.97 6
  142.7 6.05 6
  142.8 5.43 5
  142.9 5.96 5
  143.0 7.36 7
  143.1 8.33 8
  143.2 7.7 7
  144.1 3.33 3
  144.2 5.95 5
  144.3 9.07 9
  144.4 10.28 10
  144.5 8.41 8
  144.8 3.47 3
  144.9 6.39 6
  145.0 8.42 8
  145.1 7.9 7
  148.0 3.35 3
  148.1 6.86 6
  148.2 9.71 9
  148.3 9.56 9
  148.4 6.69 6
  149.3 4.12 4
  149.4 7.74 7
  149.5 10.21 10
  149.6 9.37 9
  149.9 4.13 4
  150.0 7.59 7
  150.1 10.42 10
  150.2 9.9 9
  150.3 6.44 6
  150.6 3.86 3
  150.7 7.43 7
  150.8 9.97 9
  150.9 9.64 9
  151.0 6.75 6
  151.9 4.19 4
  152.0 7.59 7
  152.1 9.84 9
  152.2 9.24 9
  152.3 6.19 6
  153.8 4.85 4
  153.9 7.66 7
  154.0 9.49 9
  154.1 8.76 8
  154.2 5.84 5
  155.7 3.3 3
  155.8 6.51 6
  155.9 8.73 8
  156.0 7.95 7
  156.3 3.87 3
  156.4 6.99 6
  156.5 9.65 9
  156.6 9.6 9
  156.7 6.95 6
  157.6 2.75 2
  157.7 6.23 6
  157.8 9.22 9
  157.9 9.46 9
  158.0 7.22 7
  158.9 4.2 4
  159.0 7.21 7
  159.1 9.17 9
  159.2 8.52 8
  160.8 4.24 4
  160.9 8.1 8
  161.0 11.76 11
  161.1 12.1 12
  161.2 8.8 8
  161.5 3.39 3
  161.6 6.2 6
  161.7 7.84 7
  161.8 6.95 6
  161.9 4.83 4
  162.0 3.98 3
  162.1 5.44 5
  162.2 7.96 7
  162.3 9.26 9
  162.4 8.13 8
  163.4 5.45 5
  163.5 7.7 7
  163.6 8.99 8
  163.7 8.23 8
  164.0 5.81 5
  164.1 8.33 8
  164.2 10.17 10
  164.3 9.31 9
  164.4 5.91 5
  167.2 4.31 4
  167.3 7.56 7
  167.4 9.98 9
  167.5 9.46 9
  167.6 6.36 6
  169.1 4.85 4
  169.2 7.94 7
  169.3 10.84 10
  169.4 11.38 11
  169.5 8.98 8
  169.8 5.4 5
  169.9 8.32 8
  170.0 9.92 9
  170.1 8.66 8
  172.3 3.51 3
