ACCESSION: CB000266
RECORD_TITLE: Gyrophoric acid; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe, Carboxylic acids
CH$NAME: Gyrophoric acid
CH$COMPOUND_CLASS: Carbohydrates
CH$FORMULA: C24H20O10
CH$EXACT_MASS: 468.421
CH$SMILES: Cc1cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(O)cc3O)cc2O)cc(O)c1C(=O)O
CH$IUPAC: InChI=1S/C24H20O10/c1-10-4-13(25)7-16(26)20(10)23(31)34-15-6-12(3)21(18(28)9-15)24(32)33-14-5-11(2)19(22(29)30)17(27)8-14/h4-9,25-28H,1-3H3,(H,29,30)
CH$LINK: CAS 548-89-0
CH$LINK: CHEMSPIDER 119550
CH$LINK: INCHIKEY ATQPZSQVWCPVGV-UHFFFAOYSA-N
CH$LINK: COMPTOX DTXSID30203289
CH$LINK: PUBCHEM CID:135728
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0udi-0912402002-45e88868e472dc13b6c9
PK$NUM_PEAK: 644
PK$PEAK: m/z int. rel.int.
  393.2000 5755.9668 24
  394.0000 6689.3662 28
  401.6000 6922.7168 29
  401.7000 6767.1494 29
  406.9000 6611.5835 28
  413.1000 6144.8828 26
  415.3000 6689.3662 28
  415.9000 6456.0166 27
  417.6000 6844.9326 29
  419.3000 6456.0166 27
  420.4000 6767.1494 29
  420.5000 7000.5000 30
  427.2000 6456.0166 27
  428.9000 6533.8003 28
  429.1000 6378.2334 27
  432.6000 6144.8828 26
  433.2000 7233.8491 31
  433.3000 7156.0674 30
  433.7000 5289.2666 22
  434.0000 5055.9165 21
  437.1000 6222.6660 26
  438.9000 6222.6660 26
  440.4000 6456.0166 27
  446.8000 6611.5835 28
  446.9000 6844.9331 29
  447.1000 6611.5835 28
  449.3000 5367.0503 22
  450.8000 6533.8003 28
  451.3000 6611.5835 28
  454.3000 6144.8828 26
  454.8000 5444.8330 23
  457.0000 6611.5835 28
  459.0000 6533.7998 28
  465.0000 6611.5835 28
  466.9000 6300.4502 27
  468.1000 6767.1494 29
  468.3000 13223.1670 58
  468.4000 19679.1836 86
  468.5000 33757.9727 149
  468.6000 26446.3340 117
  468.7000 60359.8750 268
  468.8000 39825.0625 176
  468.9000 54059.4180 240
  469.0000 75527.6328 336
  469.1000 75449.8516 335
  469.2000 90150.8906 401
  469.3000 26601.8984 117
  469.4000 6456.0166 27
  469.5000 12912.0332 56
  469.6000 13456.5156 59
  469.7000 13223.1670 58
  469.8000 13534.2988 59
  469.9000 20534.8008 90
  470.0000 6611.5835 28
  470.1000 6300.4502 27
  470.2000 12912.0332 56
  470.3000 13845.4336 60
  470.4000 13767.6484 60
  470.5000 13612.0830 59
  470.7000 13612.0830 59
  470.8000 6689.3662 28
  470.9000 6767.1494 29
  471.2000 6611.5835 28
  471.3000 6533.8003 28
  471.6000 6844.9331 29
  472.7000 6844.9326 29
  476.4000 6689.3662 28
  482.4000 6767.1494 29
  483.5000 6611.5835 28
  483.7000 6922.7168 29
  485.4000 6611.5835 28
  485.5000 6378.2334 27
  485.6000 13456.5156 59
  485.9000 6144.8828 26
  486.0000 20068.0977 88
  486.1000 6533.8003 28
  486.2000 6222.6660 26
  486.3000 6844.9331 29
  486.4000 6611.5835 28
  486.6000 6378.2334 27
  487.0000 6844.9331 29
  487.3000 6767.1494 29
  490.8000 6611.5835 28
  491.4000 6689.3662 28
  492.4000 6767.1494 29
  492.8000 6611.5835 28
  492.9000 13689.8662 60
  493.4000 6533.8003 28
  493.6000 6767.1494 29
  494.5000 6767.1494 29
  498.4000 6611.5835 28
  500.6000 6533.8003 28
  500.8000 6689.3662 28
  510.3000 6922.7168 29
  510.7000 6689.3662 28
  514.6000 6533.8003 28
  516.5000 6844.9326 29
  521.7000 6611.5835 28
  523.0000 6922.7168 29
  523.9000 6689.3662 28
  529.3000 7000.5000 30
  533.5000 13612.0830 59
  533.6000 6689.3662 28
  539.2000 6922.7168 29
  546.5000 6767.1494 29
  546.9000 6767.1494 29
  551.5000 6844.9331 29
  561.6000 6767.1494 29
  563.6000 13845.4336 60
  563.9000 6844.9331 29
  566.6000 6922.7168 29
  589.0000 6922.7168 29
  598.4000 6689.3662 28
  600.6000 6844.9326 29
  600.7000 6533.7998 28
  601.0000 6844.9331 29
  601.4000 6844.9326 29
  602.0000 6533.8003 28
  618.1000 6844.9331 29
  618.3000 6922.7168 29
  618.4000 20690.3672 91
  618.5000 20457.0156 90
  618.6000 34769.1523 154
  618.7000 41536.2969 184
  618.8000 69771.6563 310
  618.9000 76849.9453 342
  619.0000 27613.0840 122
  619.1000 20457.0156 90
  619.2000 27846.4316 123
  619.3000 6844.9331 29
  619.4000 21001.5000 92
  619.5000 27846.4316 123
  619.6000 6844.9331 29
  619.7000 13689.8662 60
  619.8000 13767.6484 60
  619.9000 13845.4336 60
  620.0000 20845.9336 92
  620.1000 55615.0820 247
  620.2000 153855.4688 686
  620.3000 27924.2168 123
  621.1000 6922.7168 29
  650.5000 6611.5835 28
  653.2000 6922.7168 29
  653.3000 6767.1494 29
  656.5000 6922.7168 29
  665.4000 6922.7168 29
  665.9000 6689.3662 28
  671.7000 6922.7168 29
  676.3000 7000.5000 30
  699.8000 6689.3662 28
  743.2000 7000.5000 30
  750.8000 6922.7168 29
  759.0000 6767.1494 29
  765.9000 7000.5000 30
  766.1000 7000.5000 30
  768.3000 6689.3662 28
  768.4000 14001.0000 61
  768.6000 20845.9336 92
  768.7000 6844.9331 29
  768.8000 6844.9326 29
  768.9000 7000.5000 30
  769.4000 7000.5000 30
  770.3000 7000.5000 30
  770.4000 6767.1494 29
  771.7000 6844.9331 29
  774.1000 6922.7168 29
  782.6000 6844.9331 29
  789.8000 6844.9331 29
  796.3000 6922.7168 29
  804.4000 6767.1494 29
  805.1000 7000.5000 30
  806.7000 6767.1494 29
  834.3000 6922.7168 29
  847.4000 7000.5000 30
  852.2000 7000.5000 30
  900.3000 6922.7168 29
  907.4000 6922.7168 29
  919.9000 7000.5000 30
  934.2000 6922.7168 29
  935.2000 7000.5000 30
  936.2000 13845.4336 60
  936.3000 13845.4336 60
  936.4000 6689.3662 28
  936.5000 34846.9375 154
  936.6000 41614.0820 184
  936.7000 27768.6484 123
  936.8000 20690.3672 91
  936.9000 13767.6484 60
  937.0000 6689.3662 28
  937.1000 34846.9375 154
  937.2000 27846.4316 123
  937.3000 20923.7148 92
  937.4000 6922.7168 29
  937.5000 20690.3672 91
  937.6000 34458.0156 152
  937.7000 34846.9375 154
  937.8000 13923.2158 61
  938.0000 13845.4336 60
  938.2000 6844.9331 29
  938.3000 6844.9331 29
  938.4000 7000.5000 30
  938.5000 6844.9331 29
  938.6000 20768.1484 91
  938.9000 7000.5000 30
  943.1000 6767.1494 29
  947.1000 6767.1494 29
  952.1000 6844.9331 29
  953.1000 13845.4336 60
  953.4000 6689.3662 28
  953.5000 13534.2988 59
  953.6000 13456.5156 59
  953.7000 20612.5820 91
  953.8000 6456.0166 27
  954.0000 13456.5156 59
  954.1000 13767.6484 60
  954.2000 6533.8003 28
  954.4000 6844.9331 29
  954.7000 7000.5000 30
  954.8000 20768.1484 91
  955.1000 6689.3662 28
  957.5000 7000.5000 30
  957.9000 6844.9331 29
  961.0000 6844.9326 29
  961.5000 13923.2158 61
  962.4000 7000.5000 30
  964.8000 6922.7168 29
  969.1000 6844.9331 29
  975.1000 6767.1494 29
  978.5000 7000.5000 30
  984.8000 6922.7168 29
  990.6000 6922.7168 29
  990.8000 6922.7168 29
  990.9000 6922.7168 29
  991.8000 6922.7168 29
  994.1000 6844.9331 29
  997.8000 7000.5000 30
  1007.2000 6922.7168 29
  1013.7000 7000.5000 30
  1018.9000 7000.5000 30
  1035.0000 7000.5000 30
  1067.9000 7000.5000 30
  1068.3000 6922.7168 29
  1069.0000 6922.7168 29
  1072.8000 7000.5000 30
  1086.1000 7000.5000 30
  1086.3000 14001.0000 61
  1086.5000 6922.7168 29
  1086.6000 13923.2158 61
  1086.9000 7000.5000 30
  1087.0000 13923.2158 61
  1087.1000 6922.7168 29
  1087.3000 7000.5000 30
  1087.4000 6922.7168 29
  1087.6000 13845.4336 60
  1087.9000 7000.5000 30
  1088.2000 6689.3662 28
  1088.6000 14001.0000 61
  1088.9000 6922.7168 29
  1089.0000 6922.7168 29
  1089.9000 6922.7168 29
  1090.1000 7000.5000 30
  1108.4000 6922.7168 29
  1116.7000 6844.9331 29
  1127.2000 7000.5000 30
  1136.7000 7000.5000 30
  1139.0000 6922.7168 29
  1146.3000 7000.5000 30
  1181.7000 7000.5000 30
  1189.3000 7000.5000 30
  1199.7000 7000.5000 30
  1211.3000 6844.9326 29
  1289.0000 7000.5000 30
  1311.4000 7000.5000 30
  1328.4000 7000.5000 30
  1368.7000 7000.5000 30
  1403.8000 14001.0000 61
  1404.1000 27924.2168 123
  1404.2000 14001.0000 61
  1404.3000 14001.0000 61
  1404.4000 14001.0000 61
  1404.5000 6922.7168 29
