ACCESSION: NGA02800
RECORD_TITLE: 9(11)-dehydrohecogenin; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Sapogenins
CH$NAME: 9(11)-dehydrohecogenin
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C27H40O4
CH$EXACT_MASS: 428.6175
CH$SMILES: CC1CC[C@@]2(OC1)OC1CC3C4CC[C@H]5CC(O)CC[C@]5(C)C4=CC(=O)[C@]3(C)C1[C@@H]2C
CH$IUPAC: InChI=1S/C27H40O4/c1-15-7-10-27(30-14-15)16(2)24-22(31-27)12-21-19-6-5-17-11-18(28)8-9-25(17,3)20(19)13-23(29)26(21,24)4/h13,15-19,21-22,24,28H,5-12,14H2,1-4H3/t15?,16-,17-,18?,19?,21?,22?,24?,25-,26+,27+/m0/s1
CH$LINK: CAS 3514-26-9
CH$LINK: CHEMSPIDER 4954026
CH$LINK: INCHIKEY YLZUMNXGXFXZNQ-YQFCHWDISA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-03xr-1962100000-660ded512b8b96b3b6f2
PK$NUM_PEAK: 942
PK$PEAK: m/z int. rel.int.
  181.5 6.24 6
  181.6 1.69 1
  182.3 1.52 1
  182.4 3.12 3
  182.5 5.21 5
  182.6 7.18 7
  182.7 9.1 9
  182.8 11.8 11
  182.9 16.01 15
  183.0 21.13 21
  183.1 24.96 24
  183.2 25.04 25
  183.3 20.58 20
  183.4 13.17 13
  183.5 5.84 5
  183.6 1.32 1
  184.3 1.69 1
  184.4 3.32 3
  184.5 5.83 5
  184.6 8.44 8
  184.7 11.33 11
  184.8 16.49 16
  184.9 25.01 24
  185.0 33.89 33
  185.1 38.38 38
  185.2 37.09 37
  185.3 32.15 32
  185.4 25.0 24
  185.5 15.77 15
  185.6 6.59 6
  185.7 0.55 0
  186.5 2.27 2
  186.6 3.76 3
  186.7 6.8 6
  186.8 10.87 10
  186.9 14.76 14
  187.0 17.44 17
  187.1 18.54 18
  187.2 17.82 17
  187.3 14.8 14
  187.4 9.72 9
  187.5 4.28 4
  187.6 0.8 0
  188.5 1.74 1
  188.6 3.62 3
  188.7 6.05 6
  188.8 8.6 8
  188.9 11.21 11
  189.0 13.68 13
  189.1 15.17 15
  189.2 14.71 14
  189.3 11.99 11
  189.4 7.66 7
  189.5 3.31 3
  190.5 2.96 2
  190.6 4.55 4
  190.7 7.64 7
  190.8 12.07 12
  190.9 17.42 17
  191.0 23.14 23
  191.1 27.36 27
  191.2 27.47 27
  191.3 22.76 22
  191.4 15.4 15
  191.5 8.27 8
  191.6 3.25 3
  192.5 1.88 1
  192.6 3.0 2
  192.7 4.52 4
  192.8 6.89 6
  192.9 10.07 10
