  202.5 4.67 4
  202.6 4.68 4
  202.7 4.68 4
  202.8 4.82 4
  202.9 5.14 5
  203.0 5.46 5
  203.1 5.59 5
  203.2 5.5 5
  203.3 5.43 5
  203.4 5.73 5
  203.5 6.5 6
  203.6 7.39 7
  203.7 7.92 7
  203.8 7.83 7
  203.9 7.11 7
  204.0 5.99 5
  204.4 5.4 5
  204.5 6.53 6
  204.6 7.43 7
  204.7 7.6 7
  204.8 6.9 6
  204.9 5.62 5
  205.7 5.58 5
  205.8 6.83 6
  205.9 7.95 7
  206.0 8.09 8
  206.1 6.91 6
  206.2 5.02 5
  206.6 4.7 4
  206.7 5.5 5
  206.8 6.39 6
  206.9 7.27 7
  207.0 7.97 7
  207.1 8.26 8
  207.2 7.96 7
  207.3 7.06 7
  208.8 2.3 2
  208.9 3.69 3
  209.0 4.72 4
  209.1 5.14 5
  209.2 5.41 5
  209.3 5.96 5
  209.4 6.6 6
  209.5 6.69 6
  209.6 6.03 6
  211.4 5.17 5
  211.5 6.2 6
  211.6 6.94 6
  211.7 7.37 7
  211.8 7.48 7
  211.9 7.13 7
  212.0 6.22 6
  213.5 3.54 3
  213.6 5.06 5
  213.7 6.27 6
  213.8 7.06 7
  213.9 7.56 7
  214.0 7.42 7
  214.1 6.24 6
  214.2 4.42 4
  214.5 3.18 3
  214.6 4.31 4
  214.7 5.72 5
  214.8 6.83 6
  214.9 6.96 6
  215.3 4.82 4
  215.4 6.16 6
  215.5 7.08 7
  215.6 7.02 7
  215.7 6.36 6
  215.8 5.9 5
  215.9 5.96 5
  216.0 6.31 6
  216.1 6.52 6
  216.2 6.5 6
  216.3 6.42 6
  216.4 6.48 6
  216.5 6.7 6
  216.6 6.79 6
  216.7 6.55 6
  216.8 6.24 6
  216.9 6.39 6
  217.0 7.02 7
  217.1 7.48 7
  217.2 7.16 7
  217.3 6.09 6
  219.1 2.18 2
  219.2 3.32 3
  219.3 4.9 4
  219.4 6.26 6
  219.5 6.66 6
  219.6 5.91 5
  230.0 4.2 4
  230.1 5.02 5
  230.2 5.9 5
  230.3 6.57 6
  230.4 6.75 6
  230.5 6.41 6
  230.6 5.88 5
  230.7 5.58 5
  230.8 5.55 5
  230.9 5.58 5
  231.0 5.69 5
  231.1 6.03 6
  231.2 6.55 6
  231.3 7.06 7
  231.4 7.4 7
  231.5 7.49 7
  231.6 7.18 7
  231.7 6.49 6
  231.8 5.69 5
  231.9 5.11 5
  232.0 4.86 4
  232.1 4.83 4
  232.2 4.88 4
  232.3 4.91 4
  232.4 5.01 5
  232.5 5.36 5
  232.6 5.86 5
  232.7 6.23 6
  232.8 6.16 6
  232.9 5.61 5
  233.0 4.89 4
  233.1 4.4 4
  233.2 4.48 4
  233.3 5.05 5
  233.4 5.66 5
  233.5 5.92 5
  233.6 5.89 5
  233.7 5.92 5
  233.8 6.13 6
  233.9 6.12 6
  234.0 5.44 5
  234.1 4.16 4
  234.5 3.94 3
  234.6 5.34 5
  234.7 6.53 6
  234.8 7.17 7
  234.9 7.22 7
  235.0 6.8 6
  235.1 6.11 6
  235.2 5.52 5
  235.3 5.43 5
  235.4 5.89 5
  235.5 6.53 6
  235.6 6.97 6
  235.7 7.08 7
  235.8 6.87 6
  235.9 6.33 6
  236.0 5.67 5
  236.1 5.29 5
  236.2 5.57 5
  236.3 6.46 6
  236.4 7.48 7
  236.5 8.09 8
  236.6 8.01 8
  236.7 7.4 7
  236.8 6.61 6
  236.9 6.13 6
  237.0 6.17 6
  237.1 6.57 6
  237.2 6.88 6
  237.3 6.99 6
  237.4 7.04 7
  237.5 7.09 7
  237.6 7.02 7
  237.7 6.76 6
  237.8 6.26 6
  237.9 5.58 5
  238.0 4.98 4
  238.1 4.84 4
  238.2 5.17 5
  238.3 5.5 5
  238.4 5.41 5
  238.5 5.1 5
  238.6 5.11 5
  238.7 5.65 5
  238.8 6.28 6
  238.9 6.43 6
  239.0 5.91 5
  239.1 5.04 5
  239.2 4.32 4
  239.3 4.05 4
  239.4 4.26 4
  239.5 4.71 4
  239.6 5.12 5
  239.7 5.45 5
  239.8 5.78 5
  239.9 6.09 6
  240.0 6.13 6
  240.1 5.95 5
  240.2 5.9 5
  240.3 6.16 6
  240.4 6.37 6
  240.5 6.09 6
  240.6 5.58 5
  240.7 5.45 5
  240.8 5.92 5
  240.9 6.66 6
  241.0 7.29 7
  241.1 7.61 7
  241.2 7.36 7
  241.3 6.43 6
  241.6 4.55 4
  241.7 5.87 5
  241.8 7.62 7
  241.9 8.73 8
  242.0 8.51 8
  242.1 7.15 7
  242.2 5.45 5
  242.5 4.11 4
  242.6 5.27 5
  242.7 6.54 6
  242.8 7.39 7
  242.9 7.66 7
  243.0 7.72 7
  243.1 7.89 7
  243.2 8.04 8
  243.3 7.7 7
  247.4 6.15 6
  247.5 7.03 7
  247.6 7.76 7
