ACCESSION: CB000273
RECORD_TITLE: Dihydrostreptomycin; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe, Glycosides, Aminoglycosides
CH$NAME: Dihydrostreptomycin
CH$COMPOUND_CLASS: Carbohydrates
CH$FORMULA: C21H41N7O12
CH$EXACT_MASS: 583.6006
CH$SMILES: CNC1C(O)[C@@H](O)C(CO)O[C@H]1OC1[C@H](OC2C(O)[C@@H](O)C(NC(=N)N)C(O)[C@@H]2NC(=N)N)O[C@@H](C)C1(O)CO
CH$IUPAC: InChI=1S/C21H41N7O12/c1-5-21(36,4-30)16(40-17-9(26-2)13(34)10(31)6(3-29)38-17)18(37-5)39-15-8(28-20(24)25)11(32)7(27-19(22)23)12(33)14(15)35/h5-18,26,29-36H,3-4H2,1-2H3,(H4,22,23,27)(H4,24,25,28)/t5-,6?,7?,8-,9?,10-,11?,12-,13?,14?,15?,16?,17-,18-,21?/m0/s1
CH$LINK: CAS 128-46-1
CH$LINK: CHEMSPIDER 23089228
CH$LINK: INCHIKEY ASXBYYWOLISCLQ-PMUJNECLSA-N
CH$LINK: PUBCHEM CID:6427042
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-01ox-0690100000-99629b01d6350bf4d4cf
PK$NUM_PEAK: 399
PK$PEAK: m/z int. rel.int.
  410.6000 11964.4922 22
  410.7000 12600.9023 24
  583.4000 11943.2793 22
  583.5000 43106.1172 84
  583.6000 78151.0469 154
  583.7000 125881.7266 248
  583.8000 134473.2500 265
  583.9000 137188.5781 271
  584.0000 137591.6563 272
  584.1000 131376.0781 259
  584.2000 128469.7891 253
  584.3000 118987.3047 235
  584.4000 88757.8594 175
  584.5000 33347.8398 65
  584.6000 26092.7793 50
  584.7000 32181.0859 62
  584.8000 48282.2461 94
  584.9000 31693.1777 61
  585.0000 35044.9297 68
  585.1000 29868.8027 58
  585.2000 52949.2422 104
  585.3000 38948.2383 76
  585.4000 34005.4648 66
  585.6000 11285.6563 21
  619.8000 16101.1543 30
  620.0000 12325.1250 23
//
