ACCESSION: MSBNK-NILU-NL0460
RECORD_TITLE: PBDE-138; GC-EI-TOF; MS; Positive
DATE: 2025.04.02
  148.93156 591 2.948
  150.13866 258 1.29
  151.92628 4261 21.256
  152.93332 14993 74.8
  153.92989 2999 14.963
  154.93129 13498 67.339
  155.93823 805 4.016
  160.93083 2331 11.63
  161.93022 4837 24.131
  162.43195 372 1.854
  162.93164 335 1.672
  164.02544 1316 6.564
  167.08516 346 1.727
  169.935 1001 4.993
  172.83987 645 3.219
  186.39197 2780 13.869
  186.88911 1268 6.328
  187.3909 6228 31.07
  187.88997 1100 5.487
  188.38944 5490 27.39
  188.89401 1020 5.09
  189.38956 2816 14.051
  191.00145 292 1.456
  194.84326 1455 7.257
  196.84125 2538 12.662
  198.84059 1052 5.249
  200.89056 935 4.665
  201.38921 1395 6.957
  201.89094 231 1.153
  202.39082 1269 6.331
  202.89073 1002 4.999
  203.88918 720 3.591
  207.03192 500 2.493
  208.03337 364 1.818
  213.94002 797 3.974
  214.94853 11548 57.614
  215.95277 1575 7.856
  216.94708 12033 60.033
  217.95343 834 4.16
  219.85182 3219 16.06
  220.84914 1839 9.174
  221.84984 5736 28.615
  222.8549 246 1.229
  223.84821 2297 11.457
  227.34299 995 4.962
  231.85039 6945 34.649
  231.88502 466 2.326
  232.84752 769 3.837
  233.84898 13622 67.961
  233.89235 479 2.389
  234.85333 1022 5.097
  235.84726 8927 44.535
  236.84982 550 2.744
  239.84857 7217 36.004
  240.34724 1313 6.553
  240.84663 28814 143.752
  241.34885 3485 17.386
  241.8463 44973 224.367
  241.93727 1395 6.96
  242.34702 4357 21.735
  242.84496 28751 143.439
  242.94397 2000 9.976
  243.34586 2744 13.688
  243.84432 7191 35.878
  243.94786 371 1.851
  245.95094 2427 12.108
  247.84401 3006 14.995
  249.84425 6289 31.377
  250.84973 407 2.03
  251.84314 2913 14.532
  280.80017 1169 5.833
  281.30899 859 4.284
  282.30353 923 4.605
  292.85797 1241 6.192
  293.86352 2094 10.444
  294.86575 1457 7.267
  295.86478 3472 17.32
  296.86948 6263 31.246
  297.86517 2065 10.303
  298.7681 4403 21.965
  300.76697 15491 77.282
  302.76605 14604 72.857
  304.76337 4339 21.647
  310.77017 1004 5.006
  312.76849 2392 11.934
  314.76514 3302 16.471
  316.76291 1111 5.542
  321.86218 9759 48.688
  322.86414 1409 7.03
  323.86276 15516 77.407
  323.92368 428 2.133
  324.86667 1735 8.657
  326.76242 1042 5.197
  328.76248 1707 8.515
  329.76617 813 4.058
  330.76034 1839 9.174
  331.76657 274 1.366
  372.78543 4449 22.198
  373.78574 766 3.823
  374.78336 14454 72.112
  375.78406 1766 8.811
  376.7807 14607 72.875
  377.78632 1863 9.293
  378.77942 4147 20.691
  379.7807 458 2.285
  400.77918 2972 14.829
  401.78613 1014 5.061
  402.78052 7488 37.359
  403.84805 1860 9.281
  404.7818 7445 37.143
  406.78274 2096 10.459
  454.69415 747 3.725
  479.69907 27108 135.24
  480.69885 3210 16.014
  481.69794 127949 638.331
  482.69958 13096 65.334
  483.69626 200243 999
  484.69861 19531 97.438
  485.69455 122526 611.276
  486.6976 11948 59.609
  487.69174 25484 127.138
  488.69681 2026 10.107
  559.61176 1061 5.295
  561.61853 2362 11.783
  562.61499 780 3.89
  563.61786 3746 18.687
  565.61774 608 3.031
  566.62152 2371 11.826
  567.6142 385 1.918
  568.61841 1065 5.314
  637.53149 3590 17.912
  639.53168 22141 110.461
  640.53528 2029 10.121
  641.53046 58047 289.592
  642.53113 6412 31.987
  643.5282 76303 380.672
  644.53162 7754 38.682
  645.52618 52105 259.952
  646.52753 6243 31.144
  647.52325 19471 97.14
  648.52783 1986 9.906
  649.5221 3189 15.909
//
