ACCESSION: MSBNK-NILU-NL0118
RECORD_TITLE: 2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate; GC-EI-FT; MS; Positive
DATE: 2024.08.05
AUTHORS: MILK, NILU
LICENSE: CC BY
COPYRIGHT: MILK, NILU
CH$NAME: 2-Ethylhexyl 2,3,4,5-Tetrabromobenzoate
CH$NAME: Benzoic acid, 2,3,4,5-tetrabromo-, 2-ethylhexyl ester
CH$COMPOUND_CLASS: Non-Natural Product; Brominated Flame Retardant
CH$FORMULA: C15H18Br4O2
CH$EXACT_MASS: 545.80403
CH$SMILES: CCCCC(CC)COC(=O)C1=CC(=C(C(=C1Br)Br)Br)Br
CH$IUPAC: InChI=1S/C15H18Br4O2/c1-3-5-6-9(4-2)8-21-15(20)10-7-11(16)13(18)14(19)12(10)17/h7,9H,3-6,8H2,1-2H3
AC$INSTRUMENT: Thermo Scientific Q Exactive GC Hybrid Quadrupol-Orbitrap
AC$INSTRUMENT_TYPE: GC-EI-FT
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$CHROMATOGRAPHY: INJECTION_TEMPERATURE 250 C
AC$CHROMATOGRAPHY: KOVATS_RTI 2781.715
MS$FOCUSED_ION: BASE_PEAK 70.07777
PK$SPLASH: splash10-0089-9111200000-aab4ca77d795742c764a
PK$NUM_PEAK: 219
PK$PEAK: m/z int. rel.int.
  230.84366 1812733 54.754
  231.21121 33833 1.022
  231.83418 198504 5.996
  231.85249 437072 13.202
  232.84151 3732801 112.751
  233.83147 159647 4.822
  233.85001 910181 27.492
  234.84021 1735397 52.418
  235.84836 360102 10.877
  235.86536 89981 2.718
  237.16353 34452 1.041
  247.8465 190367 5.75
  248.98846 51563 1.557
  249.84471 472187 14.263
  251.84261 198651 6
  255.21144 84417 2.55
  258.12564 79153 2.391
  258.83929 1139974 34.433
  260.83661 2255310 68.123
  260.84 319927 9.664
  261.83994 58730 1.774
  262.8352 1098396 33.178
  262.83749 478408 14.451
  264.85016 147262 4.448
  265.02026 123317 3.725
  271.24139 66201 2
  276.83127 38274 1.156
  278.84824 107766 3.255
  295.24271 78221 2.363
  298.7699 40798 1.232
  300.76846 220824 6.67
  302.76599 220058 6.647
  304.76346 78788 2.38
  309.76254 874521 26.415
  311.76028 2536950 76.63
  312.76431 138548 4.185
  313.75818 2326270 70.266
  313.76117 507547 15.331
  314.76129 82976 2.506
  315.75568 788073 23.804
  315.75867 317151 9.58
  337.75729 115728 3.496
  338.7655 605741 18.297
  339.75485 238543 7.205
  340.7637 1808839 54.637
  341.75336 314932 9.513
  342.76092 1759077 53.134
  343.7627 119026 3.595
  344.75858 470931 14.225
  354.76071 166436 5.027
  356.75726 601875 18.18
  357.76514 134185 4.053
  358.75513 593428 17.925
  360.75272 175801 5.31
  365.32028 137768 4.161
  366.32315 58916 1.78
  368.77564 67487 2.038
  370.77341 247525 7.477
  372.772 235440 7.112
  390.67764 313343 9.465
  392.67682 466764 14.099
  394.67459 312673 9.444
  416.67526 1601119 48.362
  417.67963 83922 2.535
  418.67258 6022608 181.915
  419.67697 430685 13.009
  420.67038 8861275 267.659
  421.6749 633792 19.144
  422.66852 5694877 172.016
  423.6731 390540 11.796
  424.66675 1369397 41.363
  433.6781 403682 12.193
  434.68573 130363 3.938
  435.67508 1738105 52.5
  436.68463 737752 22.284
  437.673 2654384 80.177
  438.68256 1212596 36.627
  439.67242 1565512 47.287
  440.67877 704234 21.272
  441.67032 346680 10.472
  442.67877 115046 3.475
//

