ACCESSION: MSBNK-NILU-NL0461
RECORD_TITLE: PBDE-153; GC-EI-TOF; MS; Positive
DATE: 2025.04.02
  162.93149 1450 23.347
  165.06981 352 5.659
  186.38939 913 14.699
  187.39026 2551 41.055
  188.38962 2506 40.333
  189.38705 831 13.376
  196.8419 1302 20.965
  200.8927 1337 21.523
  201.38754 867 13.951
  201.89087 3287 52.914
  202.38855 1045 16.814
  202.89006 2881 46.375
  207.07361 138 2.222
  209.03036 85 1.363
  214.94881 4270 68.73
  215.95305 1103 17.758
  216.9481 4303 69.268
  219.84921 1078 17.344
  221.84799 2264 36.435
  222.85344 1180 18.995
  223.85019 1148 18.483
  231.85097 3321 53.456
  233.84909 6366 102.472
  234.8524 1031 16.591
  235.84605 2846 45.817
  239.84717 2287 36.815
  240.84651 8559 137.762
  241.35083 1310 21.087
  241.84491 12781 205.733
  241.8871 908 14.61
  242.34756 2081 33.494
  242.84529 8369 134.709
  243.34575 1304 20.993
  243.84218 2227 35.846
  243.94694 1176 18.936
  245.95276 1034 16.641
  247.9632 701 11.291
  249.84306 1882 30.292
  251.84235 955 15.375
  294.86862 1574 25.338
  295.86328 1785 28.727
  296.86734 2451 39.449
  298.77032 1871 30.116
  298.86978 1274 20.51
  300.7666 5324 85.695
  302.76578 5522 88.89
  304.76224 1658 26.69
  312.76633 1081 17.4
  314.76584 1224 19.694
  321.86087 3225 51.919
  323.86273 7248 116.664
  324.8663 2165 34.851
  325.86868 6195 99.718
  326.86713 1510 24.299
  327.87451 2350 37.832
  341.01932 67 1.072
  372.78543 1894 30.493
  374.78006 5513 88.736
  376.78061 5342 85.991
  378.77978 1718 27.653
  400.78049 1205 19.399
  401.78589 5394 86.825
  402.77899 4007 64.499
  403.78516 15511 249.674
  404.78079 5022 80.838
  405.78421 15089 242.875
  406.78088 2848 45.844
  407.78107 5112 82.279
  479.6976 9412 151.491
  479.74826 311 5.003
  480.70264 1304 20.996
  481.69687 40684 654.864
  482.69962 4967 79.947
  483.69562 62064 999
  484.69846 7248 116.66
  485.69284 39600 637.414
  486.69842 4849 78.052
  487.69247 9866 158.804
  488.69861 1351 21.75
  559.61005 1474 23.729
  561.61853 4566 73.491
  563.61768 7915 127.409
  564.61572 1040 16.743
  565.61676 6700 107.852
  566.61762 940 15.13
  567.6156 3022 48.636
  637.53314 1210 19.483
  639.53119 6441 103.672
  641.52856 16595 267.112
  642.53021 2195 35.325
  643.52698 22594 363.684
  644.52985 2978 47.941
  645.52588 15756 253.617
  646.52783 2181 35.106
  647.52124 6356 102.315
  648.52362 937 15.08
  649.52002 1128 18.154
//
