ACCESSION: KO002322
RECORD_TITLE: Allocryptopine; LC-ESI-QQ; MS2; CE:50 V; [M+H]+
DATE: 2016.01.19 (Created 2007.07.07, modified 2011.05.10)
AUTHORS: Kakazu Y, Horai H, Institute for Advanced Biosciences, Keio Univ.
LICENSE: CC BY-NC-SA
  241.400 202970.5 18
  245.500 94059.5 8
  246.400 356436.0 32
  247.600 396040.0 35
  248.300 440594.5 39
  249.400 232673.5 21
  250.400 435644.0 39
  251.400 376238.0 33
  252.500 668317.5 59
  253.400 435644.0 39
  254.300 173267.5 15
  259.200 653466.0 58
  260.200 930694.0 82
  261.200 217822.0 19
  262.200 153465.5 14
  263.300 737624.5 65
  264.400 183168.5 16
  265.100 242574.5 21
  266.500 242574.5 21
  268.400 272277.5 24
  269.400 59406.0 5
  273.300 14851.5 1
  274.500 257426.0 23
  275.600 2539606.5 224
  276.200 217822.0 19
  277.300 257426.0 23
  278.600 603961.0 53
  279.500 356436.0 32
  280.200 232673.5 21
  281.200 202970.5 18
  281.600 113861.5 10
  283.200 118812.0 11
  288.200 44554.5 4
  289.300 361386.5 32
  290.500 2653468.0 235
  291.200 787129.5 70
  292.300 386139.0 34
  293.600 331683.5 29
  294.400 183168.5 16
  295.500 54455.5 5
  296.100 99010.0 9
  297.400 34653.5 3
  302.400 34653.5 3
  303.500 79208.0 7
  304.300 143564.5 13
  305.700 133663.5 12
  306.700 702971.0 62
  307.300 247525.0 22
  308.300 331683.5 29
  309.100 94059.5 8
  312.400 24752.5 2
  316.600 143564.5 13
  318.600 217822.0 19
  319.400 19802.0 2
  320.300 1019803.0 90
  321.600 217822.0 19
  322.200 509901.5 45
  323.600 19802.0 2
  327.600 34653.5 3
  334.500 247525.0 22
  334.800 24752.5 2
  335.700 84158.5 7
  336.600 1643566.0 145
  337.500 113861.5 10
  339.500 39604.0 4
  340.500 34653.5 3
  350.400 84158.5 7
  352.600 64356.5 6
  370.000 49505.0 4
//
